Episode 364 finished after 200 timesteps, total reward: -200.0
Episode 365 finished after 200 timesteps, total reward: -200.0
Episode 366 finished after 200 timesteps, total reward: -200.0
Episode 367 finished after 200 timesteps, total reward: -200.0
Episode 368 finished after 200 timesteps, total reward: -200.0
Episode 369 finished after 200 timesteps, total reward: -200.0
Episode 370 finished after 200 timesteps, total reward: -200.0
Episode 371 finished after 200 timesteps, total reward: -200.0
Episode 372 finished after 200 timesteps, total reward: -200.0
Episode 373 finished after 200 timesteps, total reward: -200.0
Episode 374 finished after 188 timesteps, total reward: -188.0
Episode 375 finished after 200 timesteps, total reward: -200.0
Episode 376 finished after 200 timesteps, total reward: -200.0
Episode 377 finished after 200 timesteps, total reward: -200.0
Episode 378 finished after 200 timesteps, total reward: -200.0
Episode 379 finished after 200 timesteps, total reward: -200.0
Episode 380 finished after 200 timesteps, total reward: -200.0
Episode 381 finished after 200 timesteps, total reward: -200.0
Episode 382 finished after 200 timesteps, total reward: -200.0
Episode 383 finished after 200 timesteps, total reward: -200.0
Episode 384 finished after 200 timesteps, total reward: -200.0
Episode 385 finished after 200 timesteps, total reward: -200.0
Episode 386 finished after 182 timesteps, total reward: -182.0
Episode 387 finished after 200 timesteps, total reward: -200.0
Episode 388 finished after 200 timesteps, total reward: -200.0
Episode 389 finished after 200 timesteps, total reward: -200.0
Episode 390 finished after 200 timesteps, total reward: -200.0
Episode 391 finished after 200 timesteps, total reward: -200.0
Episode 392 finished after 200 timesteps, total reward: -200.0
Episode 393 finished after 173 timesteps, total reward: -173.0
Episode 394 finished after 200 timesteps, total reward: -200.0
Episode 395 finished after 200 timesteps, total reward: -200.0
Episode 396 finished after 200 timesteps, total reward: -200.0
Episode 397 finished after 200 timesteps, total reward: -200.0
Episode 398 finished after 200 timesteps, total reward: -200.0
Episode 399 finished after 200 timesteps, total reward: -200.0
Episode 400 finished after 200 timesteps, total reward: -200.0
Episode 401 finished after 188 timesteps, total reward: -188.0
Episode 402 finished after 200 timesteps, total reward: -200.0
Episode 403 finished after 200 timesteps, total reward: -200.0
Episode 404 finished after 200 timesteps, total reward: -200.0
Episode 405 finished after 200 timesteps, total reward: -200.0
Episode 406 finished after 200 timesteps, total reward: -200.0
Episode 407 finished after 200 timesteps, total reward: -200.0
Episode 408 finished after 200 timesteps, total reward: -200.0
Episode 409 finished after 200 timesteps, total reward: -200.0
Episode 410 finished after 200 timesteps, total reward: -200.0
Episode 411 finished after 175 timesteps, total reward: -175.0
Episode 412 finished after 180 timesteps, total reward: -180.0
Episode 413 finished after 192 timesteps, total reward: -192.0
Episode 414 finished after 200 timesteps, total reward: -200.0
Episode 415 finished after 193 timesteps, total reward: -193.0
Episode 416 finished after 200 timesteps, total reward: -200.0
Episode 417 finished after 200 timesteps, total reward: -200.0
Episode 418 finished after 200 timesteps, total reward: -200.0
Episode 419 finished after 200 timesteps, total reward: -200.0
Episode 420 finished after 200 timesteps, total reward: -200.0
Episode 421 finished after 200 timesteps, total reward: -200.0
Episode 422 finished after 200 timesteps, total reward: -200.0
Episode 423 finished after 200 timesteps, total reward: -200.0
Episode 424 finished after 200 timesteps, total reward: -200.0
Episode 425 finished after 200 timesteps, total reward: -200.0
Episode 426 finished after 200 timesteps, total reward: -200.0
Episode 427 finished after 200 timesteps, total reward: -200.0
Episode 428 finished after 163 timesteps, total reward: -163.0
Episode 429 finished after 200 timesteps, total reward: -200.0
Episode 430 finished after 200 timesteps, total reward: -200.0
Episode 431 finished after 200 timesteps, total reward: -200.0
Episode 432 finished after 175 timesteps, total reward: -175.0
Episode 433 finished after 200 timesteps, total reward: -200.0
Episode 434 finished after 200 timesteps, total reward: -200.0
Episode 435 finished after 193 timesteps, total reward: -193.0
Episode 436 finished after 200 timesteps, total reward: -200.0
Episode 437 finished after 200 timesteps, total reward: -200.0
Episode 438 finished after 200 timesteps, total reward: -200.0
Episode 439 finished after 200 timesteps, total reward: -200.0
Episode 440 finished after 200 timesteps, total reward: -200.0
Episode 441 finished after 172 timesteps, total reward: -172.0
Episode 442 finished after 200 timesteps, total reward: -200.0
Episode 443 finished after 200 timesteps, total reward: -200.0
Episode 444 finished after 175 timesteps, total reward: -175.0
Episode 445 finished after 200 timesteps, total reward: -200.0
Episode 446 finished after 200 timesteps, total reward: -200.0
Episode 447 finished after 200 timesteps, total reward: -200.0
Episode 448 finished after 200 timesteps, total reward: -200.0
Episode 449 finished after 200 timesteps, total reward: -200.0
Episode 450 finished after 200 timesteps, total reward: -200.0
Episode 451 finished after 200 timesteps, total reward: -200.0
Episode 452 finished after 188 timesteps, total reward: -188.0
Episode 453 finished after 170 timesteps, total reward: -170.0
Episode 454 finished after 200 timesteps, total reward: -200.0
Episode 455 finished after 186 timesteps, total reward: -186.0
Episode 456 finished after 200 timesteps, total reward: -200.0
Episode 457 finished after 200 timesteps, total reward: -200.0
Episode 458 finished after 200 timesteps, total reward: -200.0
Episode 459 finished after 200 timesteps, total reward: -200.0
Episode 460 finished after 200 timesteps, total reward: -200.0
Episode 461 finished after 200 timesteps, total reward: -200.0
Episode 462 finished after 200 timesteps, total reward: -200.0
Episode 463 finished after 200 timesteps, total reward: -200.0
Episode 464 finished after 182 timesteps, total reward: -182.0
Episode 465 finished after 200 timesteps, total reward: -200.0
Episode 466 finished after 200 timesteps, total reward: -200.0
Episode 467 finished after 200 timesteps, total reward: -200.0
Episode 468 finished after 200 timesteps, total reward: -200.0
Episode 469 finished after 200 timesteps, total reward: -200.0
Episode 470 finished after 200 timesteps, total reward: -200.0
Episode 471 finished after 200 timesteps, total reward: -200.0
Episode 472 finished after 198 timesteps, total reward: -198.0
Episode 473 finished after 200 timesteps, total reward: -200.0
Episode 474 finished after 182 timesteps, total reward: -182.0
Episode 475 finished after 200 timesteps, total reward: -200.0
Episode 476 finished after 200 timesteps, total reward: -200.0
Episode 477 finished after 184 timesteps, total reward: -184.0
Episode 478 finished after 200 timesteps, total reward: -200.0
Episode 479 finished after 200 timesteps, total reward: -200.0
Episode 480 finished after 192 timesteps, total reward: -192.0
Episode 481 finished after 197 timesteps, total reward: -197.0
Episode 482 finished after 193 timesteps, total reward: -193.0
Episode 483 finished after 200 timesteps, total reward: -200.0
Episode 484 finished after 189 timesteps, total reward: -189.0
Episode 485 finished after 200 timesteps, total reward: -200.0
Episode 486 finished after 200 timesteps, total reward: -200.0
Episode 487 finished after 200 timesteps, total reward: -200.0
Episode 488 finished after 200 timesteps, total reward: -200.0
Episode 489 finished after 200 timesteps, total reward: -200.0
Episode 490 finished after 200 timesteps, total reward: -200.0
Episode 491 finished after 188 timesteps, total reward: -188.0
Episode 492 finished after 182 timesteps, total reward: -182.0
Episode 493 finished after 200 timesteps, total reward: -200.0
Episode 494 finished after 200 timesteps, total reward: -200.0
Episode 495 finished after 200 timesteps, total reward: -200.0
Episode 496 finished after 193 timesteps, total reward: -193.0
Episode 497 finished after 200 timesteps, total reward: -200.0
Episode 498 finished after 200 timesteps, total reward: -200.0
Episode 499 finished after 200 timesteps, total reward: -200.0
Training completed.
