Episode 138 finished after 10 timesteps, total reward: 10.0
Episode 139 finished after 9 timesteps, total reward: 9.0
Episode 140 finished after 9 timesteps, total reward: 9.0
Episode 141 finished after 11 timesteps, total reward: 11.0
Episode 142 finished after 16 timesteps, total reward: 16.0
Episode 143 finished after 12 timesteps, total reward: 12.0
Episode 144 finished after 14 timesteps, total reward: 14.0
Episode 145 finished after 16 timesteps, total reward: 16.0
Episode 146 finished after 24 timesteps, total reward: 24.0
Episode 147 finished after 23 timesteps, total reward: 23.0
Episode 148 finished after 25 timesteps, total reward: 25.0
Episode 149 finished after 74 timesteps, total reward: 74.0
Episode 150 finished after 55 timesteps, total reward: 55.0
Episode 151 finished after 44 timesteps, total reward: 44.0
Episode 152 finished after 32 timesteps, total reward: 32.0
Episode 153 finished after 37 timesteps, total reward: 37.0
Episode 154 finished after 56 timesteps, total reward: 56.0
Episode 155 finished after 32 timesteps, total reward: 32.0
Episode 156 finished after 43 timesteps, total reward: 43.0
Episode 157 finished after 36 timesteps, total reward: 36.0
Episode 158 finished after 50 timesteps, total reward: 50.0
Episode 159 finished after 79 timesteps, total reward: 79.0
Episode 160 finished after 87 timesteps, total reward: 87.0
Episode 161 finished after 65 timesteps, total reward: 65.0
Episode 162 finished after 85 timesteps, total reward: 85.0
Episode 163 finished after 84 timesteps, total reward: 84.0
Episode 164 finished after 84 timesteps, total reward: 84.0
Episode 165 finished after 98 timesteps, total reward: 98.0
Episode 166 finished after 75 timesteps, total reward: 75.0
Episode 167 finished after 85 timesteps, total reward: 85.0
Episode 168 finished after 75 timesteps, total reward: 75.0
Episode 169 finished after 66 timesteps, total reward: 66.0
Episode 170 finished after 77 timesteps, total reward: 77.0
Episode 171 finished after 96 timesteps, total reward: 96.0
Episode 172 finished after 92 timesteps, total reward: 92.0
Episode 173 finished after 83 timesteps, total reward: 83.0
Episode 174 finished after 83 timesteps, total reward: 83.0
Episode 175 finished after 95 timesteps, total reward: 95.0
Episode 176 finished after 86 timesteps, total reward: 86.0
Episode 177 finished after 93 timesteps, total reward: 93.0
Episode 178 finished after 107 timesteps, total reward: 107.0
Episode 179 finished after 90 timesteps, total reward: 90.0
Episode 180 finished after 98 timesteps, total reward: 98.0
Episode 181 finished after 83 timesteps, total reward: 83.0
Episode 182 finished after 94 timesteps, total reward: 94.0
Episode 183 finished after 22 timesteps, total reward: 22.0
Episode 184 finished after 97 timesteps, total reward: 97.0
Episode 185 finished after 86 timesteps, total reward: 86.0
Episode 186 finished after 94 timesteps, total reward: 94.0
Episode 187 finished after 34 timesteps, total reward: 34.0
Episode 188 finished after 88 timesteps, total reward: 88.0
Episode 189 finished after 110 timesteps, total reward: 110.0
Episode 190 finished after 106 timesteps, total reward: 106.0
Episode 191 finished after 117 timesteps, total reward: 117.0
Episode 192 finished after 103 timesteps, total reward: 103.0
Episode 193 finished after 111 timesteps, total reward: 111.0
Episode 194 finished after 84 timesteps, total reward: 84.0
Episode 195 finished after 38 timesteps, total reward: 38.0
Episode 196 finished after 74 timesteps, total reward: 74.0
Episode 197 finished after 91 timesteps, total reward: 91.0
Episode 198 finished after 112 timesteps, total reward: 112.0
Episode 199 finished after 115 timesteps, total reward: 115.0
Episode 200 finished after 162 timesteps, total reward: 162.0
Episode 201 finished after 95 timesteps, total reward: 95.0
Episode 202 finished after 116 timesteps, total reward: 116.0
Episode 203 finished after 93 timesteps, total reward: 93.0
Episode 204 finished after 89 timesteps, total reward: 89.0
Episode 205 finished after 107 timesteps, total reward: 107.0
Episode 206 finished after 36 timesteps, total reward: 36.0
Episode 207 finished after 87 timesteps, total reward: 87.0
Episode 208 finished after 114 timesteps, total reward: 114.0
Episode 209 finished after 53 timesteps, total reward: 53.0
Episode 210 finished after 107 timesteps, total reward: 107.0
Episode 211 finished after 87 timesteps, total reward: 87.0
Episode 212 finished after 101 timesteps, total reward: 101.0
Episode 213 finished after 89 timesteps, total reward: 89.0
Episode 214 finished after 116 timesteps, total reward: 116.0
Episode 215 finished after 108 timesteps, total reward: 108.0
Episode 216 finished after 105 timesteps, total reward: 105.0
Episode 217 finished after 101 timesteps, total reward: 101.0
Episode 218 finished after 104 timesteps, total reward: 104.0
Episode 219 finished after 104 timesteps, total reward: 104.0
Episode 220 finished after 105 timesteps, total reward: 105.0
Episode 221 finished after 112 timesteps, total reward: 112.0
Episode 222 finished after 108 timesteps, total reward: 108.0
Episode 223 finished after 89 timesteps, total reward: 89.0
Episode 224 finished after 99 timesteps, total reward: 99.0
Episode 225 finished after 99 timesteps, total reward: 99.0
Episode 226 finished after 84 timesteps, total reward: 84.0
Episode 227 finished after 86 timesteps, total reward: 86.0
Episode 228 finished after 95 timesteps, total reward: 95.0
Episode 229 finished after 91 timesteps, total reward: 91.0
Episode 230 finished after 120 timesteps, total reward: 120.0
Episode 231 finished after 99 timesteps, total reward: 99.0
Episode 232 finished after 94 timesteps, total reward: 94.0
Episode 233 finished after 35 timesteps, total reward: 35.0
Episode 234 finished after 116 timesteps, total reward: 116.0
Episode 235 finished after 96 timesteps, total reward: 96.0
Episode 236 finished after 109 timesteps, total reward: 109.0
Episode 237 finished after 95 timesteps, total reward: 95.0
Episode 238 finished after 109 timesteps, total reward: 109.0
Episode 239 finished after 131 timesteps, total reward: 131.0
Episode 240 finished after 113 timesteps, total reward: 113.0
Episode 241 finished after 114 timesteps, total reward: 114.0
Episode 242 finished after 85 timesteps, total reward: 85.0
Episode 243 finished after 105 timesteps, total reward: 105.0
Episode 244 finished after 90 timesteps, total reward: 90.0
Episode 245 finished after 78 timesteps, total reward: 78.0
Episode 246 finished after 105 timesteps, total reward: 105.0
Episode 247 finished after 125 timesteps, total reward: 125.0
Episode 248 finished after 98 timesteps, total reward: 98.0
Episode 249 finished after 80 timesteps, total reward: 80.0
Episode 250 finished after 111 timesteps, total reward: 111.0
Episode 251 finished after 113 timesteps, total reward: 113.0
Episode 252 finished after 105 timesteps, total reward: 105.0
Episode 253 finished after 111 timesteps, total reward: 111.0
Episode 254 finished after 64 timesteps, total reward: 64.0
Episode 255 finished after 117 timesteps, total reward: 117.0
Episode 256 finished after 116 timesteps, total reward: 116.0
Episode 257 finished after 104 timesteps, total reward: 104.0
Episode 258 finished after 107 timesteps, total reward: 107.0
Episode 259 finished after 98 timesteps, total reward: 98.0
Episode 260 finished after 99 timesteps, total reward: 99.0
Episode 261 finished after 87 timesteps, total reward: 87.0
Episode 262 finished after 93 timesteps, total reward: 93.0
Episode 263 finished after 84 timesteps, total reward: 84.0
Episode 264 finished after 86 timesteps, total reward: 86.0
Episode 265 finished after 23 timesteps, total reward: 23.0
Episode 266 finished after 95 timesteps, total reward: 95.0
Episode 267 finished after 47 timesteps, total reward: 47.0
Episode 268 finished after 92 timesteps, total reward: 92.0
Episode 269 finished after 93 timesteps, total reward: 93.0
Episode 270 finished after 76 timesteps, total reward: 76.0
Episode 271 finished after 116 timesteps, total reward: 116.0
Episode 272 finished after 23 timesteps, total reward: 23.0
Episode 273 finished after 124 timesteps, total reward: 124.0
Episode 274 finished after 29 timesteps, total reward: 29.0
Episode 275 finished after 40 timesteps, total reward: 40.0
Episode 276 finished after 112 timesteps, total reward: 112.0
Episode 277 finished after 118 timesteps, total reward: 118.0
Episode 278 finished after 36 timesteps, total reward: 36.0
Episode 279 finished after 87 timesteps, total reward: 87.0
Episode 280 finished after 28 timesteps, total reward: 28.0
Episode 281 finished after 102 timesteps, total reward: 102.0
Episode 282 finished after 106 timesteps, total reward: 106.0
Episode 283 finished after 100 timesteps, total reward: 100.0
Episode 284 finished after 46 timesteps, total reward: 46.0
Episode 285 finished after 119 timesteps, total reward: 119.0
Episode 286 finished after 47 timesteps, total reward: 47.0
Episode 287 finished after 112 timesteps, total reward: 112.0
Episode 288 finished after 36 timesteps, total reward: 36.0
Episode 289 finished after 46 timesteps, total reward: 46.0
Episode 290 finished after 44 timesteps, total reward: 44.0
Episode 291 finished after 79 timesteps, total reward: 79.0
Episode 292 finished after 96 timesteps, total reward: 96.0
Episode 293 finished after 86 timesteps, total reward: 86.0
Episode 294 finished after 104 timesteps, total reward: 104.0
Episode 295 finished after 93 timesteps, total reward: 93.0
Episode 296 finished after 92 timesteps, total reward: 92.0
Episode 297 finished after 97 timesteps, total reward: 97.0
Episode 298 finished after 103 timesteps, total reward: 103.0
Episode 299 finished after 85 timesteps, total reward: 85.0
Episode 300 finished after 101 timesteps, total reward: 101.0
Episode 301 finished after 83 timesteps, total reward: 83.0
Episode 302 finished after 109 timesteps, total reward: 109.0
Episode 303 finished after 109 timesteps, total reward: 109.0
Episode 304 finished after 42 timesteps, total reward: 42.0
Episode 305 finished after 55 timesteps, total reward: 55.0
